app_id,ads.txt_location
"('WeatherBug', 'https://itunes.apple.com/us/developer/weatherbug/id281940295?uo=4')",https://www.weatherbug.com/ads.txt
"('eBay Inc.', 'http://itunes.apple.com/artist/ebay-inc/id282614219?uo=5')",No ads.txt found.
"('Life.Church', 'https://itunes.apple.com/us/developer/life-church/id282935709?uo=4')",No ads.txt found.
"('Pandora Media, Inc.', 'http://itunes.apple.com/artist/pandora-media-inc/id284035180?uo=5')",http://www.pandora.com/ads.txt
"('Google, Inc.', 'https://itunes.apple.com/us/developer/google-inc/id281956209?uo=4')",No ads.txt found.
"('Facebook, Inc.', 'https://itunes.apple.com/us/developer/facebook-inc/id284882218?uo=4')",No ads.txt found.
"('Yelp', 'https://itunes.apple.com/us/developer/yelp/id284910353?uo=4')",No ads.txt found.
"('Shazam Entertainment Ltd.', 'https://itunes.apple.com/us/developer/shazam-entertainment-ltd/id284993479?uo=4')",http://www.shazam.com/ads.txt
"('The Weather Channel Interactive', 'https://itunes.apple.com/us/developer/the-weather-channel-interactive/id295646464?uo=4')",No ads.txt found.
"('OpenTable, Inc.', 'https://itunes.apple.com/us/developer/opentable-inc/id296581818?uo=4')",No ads.txt found.
"('Target', 'https://itunes.apple.com/us/developer/target/id297430073?uo=4')",No ads.txt found.
"('JPMorgan Chase & Co.', 'https://itunes.apple.com/us/developer/jpmorgan-chase-co/id298867250?uo=4')",No ads.txt found.
"('AccuWeather International, Inc.', 'http://itunes.apple.com/artist/accuweather-international-inc/id300048140?uo=5')",No ads.txt found.
"('Mint.com', 'https://itunes.apple.com/us/developer/mint-com/id300238553?uo=4')",No ads.txt found.
"('Citibank', 'https://itunes.apple.com/us/developer/citibank/id301724683?uo=4')",No ads.txt found.
"('Fandango', 'https://itunes.apple.com/us/developer/fandango/id307906544?uo=4')",No ads.txt found.
"('AT&T Services, Inc.', 'https://itunes.apple.com/us/developer/at-t-services-inc/id290854684?uo=4')",No ads.txt found.
"('WhatsApp Inc.', 'https://itunes.apple.com/us/developer/whatsapp-inc/id310634000?uo=4')",No ads.txt found.
"('Zillow.com', 'https://itunes.apple.com/us/developer/zillow-com/id310738698?uo=4')",No ads.txt found.
"('Wells Fargo', 'https://itunes.apple.com/us/developer/wells-fargo/id311548712?uo=4')",No ads.txt found.
"('textPlus, Inc.', 'https://itunes.apple.com/us/developer/textplus-inc/id306523812?uo=4')",No ads.txt found.
"('SIRIUS XM Radio Inc', 'https://itunes.apple.com/us/developer/sirius-xm-radio-inc/id317951439?uo=4')",No ads.txt found.
"('Zynga Inc.', 'https://itunes.apple.com/us/developer/zynga-inc/id295913422?mt=8&uo=4')",No ads.txt found.
"('Waze Inc.', 'https://itunes.apple.com/us/developer/waze-inc/id323229109?uo=4')",No ads.txt found.
"('Spotify Ltd.', 'http://itunes.apple.com/artist/spotify-ltd/id324684583?uo=5')",https://www.spotify.com/ads.txt
"('Starbucks Coffee Company', 'https://itunes.apple.com/us/developer/starbucks-coffee-company/id331177718?uo=4')",No ads.txt found.
"('Weight Watchers International, Inc.', 'https://itunes.apple.com/us/developer/weight-watchers-international-inc/id331308917?uo=4')",No ads.txt found.
"('GEICO', 'http://itunes.apple.com/artist/geico/id331763099?uo=5')",No ads.txt found.
"('Walgreen Co.', 'http://itunes.apple.com/artist/walgreen-co/id335364885?uo=5')",No ads.txt found.
"('Discover Financial Services', 'https://itunes.apple.com/us/developer/discover-financial-services/id338010824?uo=4')",No ads.txt found.
"('Walmart', 'https://itunes.apple.com/us/developer/walmart/id338137230?uo=4')",No ads.txt found.
"('MyFitnessPal.com', 'https://itunes.apple.com/us/developer/myfitnesspal-com/id341232721?uo=4')",No ads.txt found.
"('Rovio Entertainment Oyj', 'https://itunes.apple.com/us/developer/rovio-entertainment-oyj/id298910979?uo=4')",No ads.txt found.
"('Southwest Airlines Co.', 'https://itunes.apple.com/us/developer/southwest-airlines-co/id334693128?uo=4')",No ads.txt found.
"('Fidelity Investments', 'https://itunes.apple.com/us/developer/fidelity-investments/id348177456?uo=4')",No ads.txt found.
"('Venmo', 'http://itunes.apple.com/artist/venmo/id351727431?uo=5')",No ads.txt found.
"('MobilityWare', 'https://itunes.apple.com/us/developer/mobilityware/id284117362?uo=4')",No ads.txt found.
"('Halfbrick Studios', 'https://itunes.apple.com/us/developer/halfbrick-studios/id356994313?uo=4')",No ads.txt found.
"('Uber Technologies, Inc.', 'http://itunes.apple.com/artist/uber-technologies-inc/id368677371?uo=5')",No ads.txt found.
"('Audible, Inc.', 'https://itunes.apple.com/us/developer/audible-inc/id379693834?uo=4')",No ads.txt found.
"('Delta Air Lines, Inc.', 'https://itunes.apple.com/us/developer/delta-air-lines-inc/id388491659?uo=4')",No ads.txt found.
