app_id,ads.txt_location
"('slither.io', 'https://play.google.com/store/apps/details?id=air.com.hypah.io.slither')",http://slither.io/ads.txt
"('AliExpress - Smarter Shopping, Better Living', 'https://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd')",No ads.txt found.
"('Google Chrome: Fast & Secure', 'https://play.google.com/store/apps/details?id=com.android.chrome')",No ads.txt found.
"('Dr. Driving', 'https://play.google.com/store/apps/details?id=com.ansangha.drdriving')",No ads.txt found.
"('AVG AntiVirus 2018 for Android Security', 'https://play.google.com/store/apps/details?id=com.antivirus')",No ads.txt found.
"('APUS Launcher - Theme, Wallpaper, Hide Apps', 'https://play.google.com/store/apps/details?id=com.apusapps.launcher')",No ads.txt found.
"('Avast Mobile Security 2018 - Antivirus & AppLock', 'https://play.google.com/store/apps/details?id=com.avast.android.mobilesecurity')",No ads.txt found.
"('BBM - Free Calls & Messages', 'https://play.google.com/store/apps/details?id=com.bbm')",No ads.txt found.
"('Clean Master- Space Cleaner & Antivirus', 'https://play.google.com/store/apps/details?id=com.cleanmaster.mguard')",No ads.txt found.
"('Security Master - Antivirus, VPN, AppLock, Booster', 'https://play.google.com/store/apps/details?id=com.cleanmaster.security')",No ads.txt found.
"('Piano Tiles 2™', 'https://play.google.com/store/apps/details?id=com.cmplay.tiles2')",No ads.txt found.
"('Wish - Shopping & Free Gifts for New Users', 'https://play.google.com/store/apps/details?id=com.contextlogic.wish')",No ads.txt found.
"('DU Battery Saver - Battery Charger & Battery Life', 'https://play.google.com/store/apps/details?id=com.dianxinos.dxbs')",No ads.txt found.
"('Cache Cleaner-DU Speed Booster (booster & cleaner)', 'https://play.google.com/store/apps/details?id=com.dianxinos.optimizer.duplay')",No ads.txt found.
"('AppLock', 'https://play.google.com/store/apps/details?id=com.domobile.applock')",No ads.txt found.
"('Duolingo: Learn Languages Free', 'https://play.google.com/store/apps/details?id=com.duolingo')",No ads.txt found.
"('Plants vs. Zombies 2', 'https://play.google.com/store/apps/details?id=com.ea.game.pvz2_row')",No ads.txt found.
"('Real Racing 3', 'https://play.google.com/store/apps/details?id=com.ea.games.r3_row')",No ads.txt found.
"('The Sims FreePlay', 'https://play.google.com/store/apps/details?id=com.ea.games.simsfreeplay_row')",No ads.txt found.
"('ES File Explorer File Manager', 'https://play.google.com/store/apps/details?id=com.estrongs.android.pop')",No ads.txt found.
"('Trivia Crack', 'https://play.google.com/store/apps/details?id=com.etermax.preguntados.lite')",No ads.txt found.
"('Facebook', 'https://play.google.com/store/apps/details?id=com.facebook.katana')",No ads.txt found.
"('Facebook Lite', 'https://play.google.com/store/apps/details?id=com.facebook.lite')",No ads.txt found.
"('Messenger – Text and Video Chat for Free', 'https://play.google.com/store/apps/details?id=com.facebook.orca')",No ads.txt found.
"('Hungry Shark Evolution', 'https://play.google.com/store/apps/details?id=com.fgol.HungrySharkEvolution')",No ads.txt found.
"('Hill Climb Racing', 'https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb')",No ads.txt found.
"('Dream League Soccer 2018', 'https://play.google.com/store/apps/details?id=com.firsttouchgames.dls3')",No ads.txt found.
"('Score! Hero', 'https://play.google.com/store/apps/details?id=com.firsttouchgames.story')",No ads.txt found.
"('Flipkart Online Shopping App', 'https://play.google.com/store/apps/details?id=com.flipkart.android')",No ads.txt found.
"('4shared', 'https://play.google.com/store/apps/details?id=com.forshared')",http://4shared.com/ads.txt
"('Sniper 3D Gun Shooter: Free Shooting Games - FPS', 'https://play.google.com/store/apps/details?id=com.fungames.sniper3d')",No ads.txt found.
"('Asphalt 8: Airborne', 'https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftA8HM')",No ads.txt found.
"('Minion Rush: Despicable Me Official Game', 'https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM')",No ads.txt found.
"('Gangstar Vegas - mafia game', 'https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftGGHM')",No ads.txt found.
"('GO Launcher - 3D parallax Themes & HD Wallpapers', 'https://play.google.com/store/apps/details?id=com.gau.go.launcherex')",No ads.txt found.
"('Maps - Navigation & Transit', 'https://play.google.com/store/apps/details?id=com.google.android.apps.maps')",No ads.txt found.
"('Google Photos', 'https://play.google.com/store/apps/details?id=com.google.android.apps.photos')",No ads.txt found.
"('Google+', 'https://play.google.com/store/apps/details?id=com.google.android.apps.plus')",No ads.txt found.
"('Google Translate', 'https://play.google.com/store/apps/details?id=com.google.android.apps.translate')",No ads.txt found.
"('Google Play services', 'https://play.google.com/store/apps/details?id=com.google.android.gms')",No ads.txt found.
"('Google', 'https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox')",No ads.txt found.
"('Google Play Games', 'https://play.google.com/store/apps/details?id=com.google.android.play.games')",No ads.txt found.
"('YouTube', 'https://play.google.com/store/apps/details?id=com.google.android.youtube')",No ads.txt found.
"('Fruit Ninja®', 'https://play.google.com/store/apps/details?id=com.halfbrick.fruitninjafree')",No ads.txt found.
"('Jetpack Joyride', 'https://play.google.com/store/apps/details?id=com.halfbrick.jetpackjoyride')",No ads.txt found.
"('Battery Doctor-Battery Life Saver & Battery Cooler', 'https://play.google.com/store/apps/details?id=com.ijinshan.kbatterydoctor_en')",No ads.txt found.
